10:58:12,289 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
10:58:12,290 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 1967 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,290 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
10:58:12,292 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 1968 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,288 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   79 |  -  -  | Pidgeon MC from: 10.0.1.16
10:58:12,293 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
10:58:12,293 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   81 |  -  -  | Pidgeon is forwarding: Message: 1963 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,294 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   79 |  -  -  | Pidgeon MC from: 10.0.1.16
10:58:12,294 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 1969 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,294 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   81 |  -  -  | Pidgeon is forwarding: Message: 1964 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,295 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
10:58:12,295 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 1970 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,295 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
10:58:12,296 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 1971 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,295 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   79 |  -  -  | Pidgeon MC from: 10.0.1.16
10:58:12,296 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
10:58:12,296 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   81 |  -  -  | Pidgeon is forwarding: Message: 1965 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,297 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 1972 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,297 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
10:58:12,297 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   79 |  -  -  | Pidgeon MC from: 10.0.1.16
10:58:12,299 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   81 |  -  -  | Pidgeon is forwarding: Message: 1966 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,300 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   79 |  -  -  | Pidgeon MC from: 10.0.1.16
10:58:12,300 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   81 |  -  -  | Pidgeon is forwarding: Message: 1967 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,300 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   79 |  -  -  | Pidgeon MC from: 10.0.1.16
10:58:12,300 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   81 |  -  -  | Pidgeon is forwarding: Message: 1968 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,300 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   79 |  -  -  | Pidgeon MC from: 10.0.1.16
10:58:12,301 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   81 |  -  -  | Pidgeon is forwarding: Message: 1969 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,301 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   79 |  -  -  | Pidgeon MC from: 10.0.1.16
10:58:12,302 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   81 |  -  -  | Pidgeon is forwarding: Message: 1970 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,302 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   79 |  -  -  | Pidgeon MC from: 10.0.1.16
10:58:12,302 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   81 |  -  -  | Pidgeon is forwarding: Message: 1971 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
